Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Humidity(%),Altitude(m),Status
3472,68.28,20.12,1005.13,45.43,67.79,Unsafe
5487,1000.00,20.11,1005.14,45.25,67.77,Unsafe
7503,1000.00,20.11,1005.13,45.49,67.80,Unsafe
9519,952.30,20.12,1005.13,45.37,67.80,Unsafe
11535,976.72,20.14,1005.13,45.48,67.83,Unsafe
13551,928.60,20.16,1005.13,45.45,67.81,Unsafe
15567,757.14,20.18,1005.13,45.57,67.79,Unsafe
17583,588.23,20.20,1005.13,45.24,67.79,Unsafe
19599,445.87,20.22,1005.14,45.15,67.77,Unsafe
21615,340.32,20.25,1005.13,44.89,67.80,Unsafe
23633,262.00,20.27,1005.13,44.84,67.81,Unsafe
25649,192.87,20.30,1005.13,44.79,67.84,Unsafe
Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Humidity(%),Altitude(m),Status
3461,2.43,21.95,997.09,54.74,135.44,Safe
5477,8.73,21.94,997.09,54.79,135.38,Warning
7493,13.73,21.93,997.10,54.70,135.33,Warning
9509,13.26,21.93,997.11,54.75,135.27,Warning
11525,11.22,21.92,997.11,54.75,135.26,Warning
13541,9.13,21.92,997.11,54.60,135.28,Warning
15557,7.59,21.92,997.11,54.48,135.28,Warning
17575,6.52,21.91,997.11,54.47,135.27,Warning
Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Humidity(%),Altitude(m),Status
3461,15.45,19.69,1003.89,39.05,78.25,Warning
5477,38.90,19.68,1003.89,38.52,78.21,Unsafe
7493,51.16,19.68,1003.89,37.83,78.19,Unsafe
9509,49.29,19.68,1003.90,37.25,78.17,Unsafe
11525,43.92,19.69,1003.90,36.99,78.15,Unsafe
13541,36.52,19.69,1003.90,36.79,78.15,Unsafe
15557,30.56,19.70,1003.90,37.33,78.14,Unsafe
17573,25.17,19.71,1003.90,36.91,78.12,Warning
19591,21.18,19.72,1003.90,36.65,78.10,Warning
