Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Altitude(m),Status
2437,10.36,21.36,992.23,176.45,Warning
4453,9.74,21.31,992.20,176.77,Warning
6469,9.74,21.31,992.22,176.57,Warning
8485,9.74,21.31,992.24,176.43,Warning
10501,8.15,21.31,992.25,176.30,Warning
12517,8.15,21.30,992.26,176.21,Warning
14533,8.15,21.30,992.28,176.09,Warning
16549,7.97,21.30,992.28,176.03,Warning
18565,8.15,21.30,992.29,175.97,Warning
20581,7.97,21.29,992.30,175.92,Warning
22597,8.15,21.29,992.30,175.86,Warning
24613,7.97,21.29,992.31,175.80,Warning
26631,8.15,21.29,992.32,175.73,Warning
28647,8.35,21.29,992.33,175.68,Warning
30663,8.15,21.29,992.33,175.69,Warning
32679,8.35,21.29,992.33,175.69,Warning
34695,8.35,21.29,992.33,175.63,Warning
36711,8.15,21.29,992.34,175.58,Warning
38727,8.35,21.29,992.34,175.57,Warning
40743,8.35,21.29,992.35,175.48,Warning
42759,8.54,21.29,992.35,175.44,Warning
44775,8.54,21.29,992.36,175.43,Warning
46791,8.35,21.28,992.36,175.38,Warning
48807,8.54,21.28,992.37,175.32,Warning
50825,8.54,21.28,992.38,175.26,Warning
52841,8.54,21.28,992.38,175.21,Warning
54857,8.54,21.27,992.39,175.16,Warning
56873,8.93,21.27,992.39,175.12,Warning
58889,8.93,21.26,992.39,175.11,Warning
60905,9.33,21.26,992.39,175.14,Warning
62921,8.54,21.26,992.40,175.09,Warning
64937,8.35,21.26,992.41,175.01,Warning
66953,7.23,21.26,992.41,174.98,Warning
68969,6.52,21.26,992.41,174.98,Warning
70985,6.35,21.26,992.41,174.94,Warning
73001,5.84,21.26,992.42,174.90,Warning
75017,5.52,21.25,992.42,174.87,Warning
77035,5.35,21.25,992.43,174.81,Warning
2136,5.35,21.23,992.45,174.63,Warning
4151,5.35,21.26,992.39,175.14,Warning
6167,5.35,21.26,992.41,174.99,Warning
8183,5.35,21.26,992.42,174.85,Warning
10199,5.35,21.26,992.44,174.74,Warning
12215,5.35,21.26,992.45,174.66,Warning
14231,5.20,21.26,992.46,174.57,Warning
16247,5.04,21.26,992.46,174.51,Warning
18263,5.20,21.26,992.48,174.41,Warning
20279,5.04,21.26,992.48,174.34,Warning
22295,5.20,21.27,992.49,174.30,Warning
24311,5.20,21.26,992.50,174.24,Warning
26329,5.04,21.26,992.50,174.20,Warning
