Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Altitude(m),Status
3411,2.67,21.70,992.39,175.16,Safe
5429,2.67,21.65,992.33,175.65,Safe
7447,2.80,21.65,992.36,175.43,Safe
9465,2.80,21.65,992.38,175.25,Safe
11483,2.80,21.65,992.39,175.11,Safe
13501,2.67,21.64,992.40,175.06,Safe
15519,2.67,21.64,992.40,175.07,Safe
17537,2.80,21.64,992.40,175.03,Safe
19555,2.80,21.63,992.40,175.05,Safe
21573,2.80,21.63,992.40,175.02,Safe
23591,2.67,21.63,992.40,175.02,Safe
25609,2.80,21.63,992.40,175.05,Safe
27627,2.67,21.63,992.39,175.10,Safe
29647,2.67,21.63,992.39,175.11,Safe
31665,2.67,21.64,992.39,175.17,Safe
33683,2.80,21.64,992.38,175.21,Safe
35701,2.80,21.64,992.38,175.19,Safe
37719,2.67,21.64,992.38,175.19,Safe
39737,2.67,21.64,992.38,175.26,Safe
41755,2.80,21.64,992.37,175.30,Safe
43773,2.80,21.64,992.37,175.32,Safe
45791,2.67,21.64,992.37,175.33,Safe
47809,2.80,21.63,992.37,175.35,Safe
49827,2.67,21.63,992.37,175.35,Safe
51845,2.80,21.63,992.36,175.41,Safe
53863,2.80,21.63,992.35,175.45,Safe
55883,2.80,21.63,992.35,175.47,Safe
57901,2.67,21.63,992.35,175.45,Safe
59919,2.80,21.63,992.35,175.48,Safe
61937,2.67,21.63,992.35,175.49,Safe
63955,2.80,21.62,992.34,175.52,Safe
65973,2.67,21.62,992.33,175.62,Safe
67991,2.67,21.62,992.32,175.69,Safe
