Timestamp(s),Temperature(C),Humidity(%),Pressure(hPa),Altitude(m),MQ7_Raw,Voltage(V),CO(ppm)
0,24.17,33.05,1017.04,-31.52,345,0.28,0.28
2,24.18,32.95,1017.07,-31.76,326,0.26,0.26
4,24.19,32.90,1017.03,-31.46,309,0.25,0.25
6,24.19,33.06,1017.02,-31.35,299,0.24,0.23
8,24.18,33.20,1017.02,-31.37,289,0.23,0.22
10,24.19,33.21,1017.06,-31.66,279,0.22,0.21
12,24.19,32.93,1017.03,-31.46,270,0.22,0.20
14,24.20,32.75,1017.04,-31.53,264,0.21,0.20
16,24.21,32.84,1017.02,-31.34,253,0.20,0.19
18,24.22,32.95,1017.06,-31.67,250,0.20,0.18
20,24.22,33.06,1017.03,-31.45,249,0.20,0.18
22,24.24,32.98,1017.06,-31.64,243,0.20,0.18
24,24.25,32.89,1017.05,-31.58,241,0.19,0.18
26,24.25,32.90,1017.04,-31.53,240,0.19,0.17
28,24.25,32.84,1017.03,-31.46,237,0.19,0.17
30,24.25,32.85,1017.02,-31.37,232,0.19,0.17
32,24.25,32.77,1017.04,-31.47,234,0.19,0.17
34,24.26,32.75,1017.04,-31.53,228,0.18,0.16
36,24.27,32.71,1017.05,-31.56,227,0.18,0.16
38,24.27,32.63,1017.07,-31.75,225,0.18,0.16
40,24.27,32.55,1017.03,-31.45,225,0.18,0.16
42,24.28,32.54,1017.02,-31.38,220,0.18,0.16
44,24.29,32.53,1017.05,-31.58,218,0.18,0.15
46,24.29,32.60,1017.07,-31.78,219,0.18,0.15
48,24.30,32.59,1017.05,-31.62,215,0.17,0.15
50,24.30,32.65,1017.07,-31.79,214,0.17,0.15
52,24.31,32.60,1017.03,-31.44,213,0.17,0.15
54,24.31,32.50,1017.06,-31.66,213,0.17,0.15
56,24.31,32.45,1017.06,-31.66,214,0.17,0.15
58,24.32,32.52,1017.03,-31.41,212,0.17,0.15
60,24.33,32.64,1017.07,-31.78,211,0.17,0.15
62,24.33,32.57,1017.08,-31.85,212,0.17,0.15
64,24.34,32.62,1017.10,-31.98,208,0.17,0.14
66,24.34,32.51,1017.08,-31.84,208,0.17,0.14
68,24.35,32.34,1017.08,-31.88,209,0.17,0.15
70,24.36,32.46,1017.08,-31.87,208,0.17,0.14
