Timestamp(s),Temperature(C),Humidity(%),Pressure(hPa),Altitude(m),MQ7_Raw,Voltage(V),CO(ppm)
0,26.52,38.31,1001.27,100.20,203,0.16,0.14
2,26.49,37.70,1001.28,100.23,187,0.15,0.13
4,26.46,37.49,1001.24,100.43,169,0.14,0.11
6,26.44,37.44,1001.27,100.22,167,0.13,0.11
8,26.40,37.00,1001.33,99.68,160,0.13,0.10
10,26.38,36.85,1001.32,99.83,154,0.12,0.10
12,26.37,36.79,1001.32,99.78,151,0.12,0.10
14,26.38,38.53,1001.30,99.93,147,0.12,0.09
16,26.39,38.39,1001.36,99.46,144,0.12,0.09
18,26.39,37.99,1001.36,99.44,144,0.12,0.09
20,26.41,37.76,1001.34,99.65,138,0.11,0.08
22,26.42,37.65,1001.33,99.73,132,0.11,0.08
24,26.45,37.72,1001.36,99.51,134,0.11,0.08
26,26.47,38.33,1001.36,99.43,128,0.10,0.08
28,26.47,38.38,1001.35,99.58,135,0.11,0.08
30,26.48,38.27,1001.38,99.33,132,0.11,0.08
32,26.48,38.09,1001.36,99.46,128,0.10,0.08
34,26.49,37.90,1001.36,99.43,120,0.10,0.07
36,26.49,37.77,1001.36,99.42,128,0.10,0.08
38,26.49,37.61,1001.36,99.47,120,0.10,0.07
40,26.50,37.56,1001.38,99.31,119,0.10,0.07
42,26.50,37.59,1001.38,99.31,119,0.10,0.07
44,26.54,43.38,1001.38,99.33,132,0.11,0.08
46,26.56,42.39,1001.40,99.16,128,0.10,0.08
48,26.55,40.78,1001.41,99.02,128,0.10,0.08
50,26.54,41.97,1001.39,99.24,123,0.10,0.07
52,26.53,41.05,1001.40,99.16,125,0.10,0.07
54,26.51,39.75,1001.41,99.05,118,0.10,0.07
57,26.56,42.57,1001.42,98.98,118,0.10,0.07
59,26.57,41.23,1001.40,99.15,119,0.10,0.07
61,26.60,43.02,1001.40,99.09,128,0.10,0.08
63,26.60,42.72,1001.39,99.19,123,0.10,0.07
65,26.59,41.75,1001.40,99.10,119,0.10,0.07
67,26.56,40.44,1001.40,99.16,116,0.09,0.07
69,26.55,40.02,1001.43,98.90,118,0.10,0.07
71,26.53,40.03,1001.40,99.23,118,0.10,0.07
73,26.51,39.36,1001.42,98.99,115,0.09,0.07
75,26.48,38.55,1001.43,98.91,124,0.10,0.07
77,26.46,38.08,1001.39,99.22,119,0.10,0.07
79,26.47,37.94,1001.45,98.73,129,0.10,0.08
81,26.45,37.75,1001.40,99.17,112,0.09,0.06
83,26.45,37.44,1001.40,99.15,113,0.09,0.07
85,26.40,37.25,1001.41,99.02,112,0.09,0.06
87,26.39,37.15,1001.41,99.00,112,0.09,0.06
89,26.38,37.97,1001.44,98.79,112,0.09,0.06
91,26.38,39.71,1001.40,99.16,112,0.09,0.06
93,26.36,40.67,1001.44,98.77,114,0.09,0.07
95,26.37,38.79,1001.43,98.89,110,0.09,0.06
97,26.35,38.38,1001.42,99.00,113,0.09,0.07
99,26.37,38.10,1001.42,99.00,103,0.08,0.06
101,26.39,37.80,1001.44,98.77,113,0.09,0.07
103,26.37,37.53,1001.42,99.00,114,0.09,0.07
105,26.35,37.27,1001.40,99.12,97,0.08,0.05
107,26.34,37.05,1001.40,99.17,105,0.08,0.06
109,26.33,36.95,1001.40,99.13,106,0.09,0.06
111,26.33,36.86,1001.40,99.16,110,0.09,0.06
114,26.32,36.85,1001.39,99.21,104,0.08,0.06
116,26.29,36.93,1001.39,99.25,104,0.08,0.06
118,26.29,36.94,1001.38,99.27,105,0.08,0.06
120,26.26,36.88,1001.38,99.26,109,0.09,0.06
122,26.24,37.04,1001.35,99.53,98,0.08,0.05
124,26.22,37.04,1001.35,99.55,105,0.08,0.06
126,26.20,36.89,1001.38,99.32,103,0.08,0.06
128,26.20,37.01,1001.34,99.63,101,0.08,0.06
130,26.19,37.18,1001.36,99.47,103,0.08,0.06
132,26.22,37.31,1001.33,99.69,111,0.09,0.06
134,26.23,37.33,1001.32,99.77,108,0.09,0.06
136,26.21,37.15,1001.35,99.53,112,0.09,0.06
138,26.19,37.00,1001.33,99.74,107,0.09,0.06
140,26.16,36.86,1001.34,99.67,102,0.08,0.06
142,26.16,36.86,1001.31,99.64,103,0.08,0.06
144,26.16,37.06,1001.31,99.86,102,0.08,0.06
146,26.17,37.12,1001.31,99.86,98,0.08,0.05
148,26.17,37.08,1001.33,99.74,109,0.09,0.06
150,26.17,37.19,1001.31,99.87,107,0.09,0.06
152,26.16,37.20,1001.31,99.92,101,0.08,0.06
154,26.17,38.15,1001.32,99.83,107,0.09,0.06
156,26.17,38.38,1001.27,100.25,110,0.09,0.06
158,26.16,38.08,1001.30,99.94,110,0.09,0.06
160,26.15,37.56,1001.28,100.11,109,0.09,0.06
162,26.15,38.65,1001.28,100.15,112,0.09,0.06
164,26.14,38.59,1001.28,100.16,112,0.09,0.06
166,26.13,37.88,1001.30,100.01,111,0.09,0.06
169,26.12,37.55,1001.25,100.38,110,0.09,0.06
171,26.11,37.40,1001.25,100.41,109,0.09,0.06
173,26.12,37.25,1001.26,100.34,97,0.08,0.05
175,26.10,37.13,1001.27,100.25,89,0.07,0.05
177,26.08,37.02,1001.26,100.34,106,0.09,0.06
179,26.09,37.09,1001.25,100.39,105,0.08,0.06
181,26.09,37.09,1001.24,100.45,109,0.09,0.06
